date,open,high,low,close,volume,dividends,stock splits,symbol,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,label_tbm,label_trend
2022-08-26 00:00:00+00:00,21596.0859375,21804.908203125,20199.482421875,20260.01953125,42326789564,0.0,0.0,BTC-USD,-523.8763891784947,-306.3278171058789,-217.5485720726158,32.60512039828635,22776.5380859375,22417.0419140625,31895.06220703125,22219.000836319385,22816.966073196636,1,-1
2022-08-27 00:00:00+00:00,20262.48046875,20340.775390625,19890.5234375,20041.73828125,30116729776,0.0,0.0,BTC-USD,-627.5921617514396,-328.034871743059,-299.55729000838056,31.471623854493114,22619.830468750002,22383.254335937498,31774.678671875,22011.642497741348,22708.133610767356,1,1
2022-08-28 00:00:00+00:00,20041.03515625,20139.0546875,19616.814453125,19616.814453125,24366810591,0.0,0.0,BTC-USD,-735.5959680137021,-348.8309424042572,-386.7650256094449,29.33375349199445,22410.196875,22343.746484375,31651.06875976562,21783.563636349318,22586.905408506875,1,-1
2022-08-29 00:00:00+00:00,19615.154296875,20357.462890625,19600.78515625,20297.994140625,32637854078,0.0,0.0,BTC-USD,-757.4923543386831,-296.5818629833905,-460.91049135529255,36.751129206011676,22266.8806640625,22332.4973828125,31534.733164062498,21642.080827232716,22497.144182315427,1,-1
2022-08-30 00:00:00+00:00,20298.611328125,20542.64453125,19617.640625,19796.80859375,34483360283,0.0,0.0,BTC-USD,-805.9958646934247,-276.06829867050567,-529.927566022919,33.929276231464,22059.33896484375,22329.022421875,31421.67751953125,21466.340614520075,22391.248669038352,1,-1
2022-08-31 00:00:00+00:00,19799.58203125,20420.990234375,19799.58203125,20049.763671875,33225232872,0.0,0.0,BTC-USD,-814.6332997398058,-227.76458697350938,-586.8687127662964,36.5762237951526,21863.95068359375,22343.5394140625,31310.703994140626,21331.42852474435,22299.425727973125,1,-1
2022-09-01 00:00:00+00:00,20050.498046875,20198.390625,19653.96875,20127.140625,30182031010,0.0,0.0,BTC-USD,-805.9444300853793,-175.26057385526622,-630.6838562301131,37.40235152149758,21650.166796875,22341.8407421875,31200.352119140625,21216.734439054413,22214.23807687614,1,1
2022-09-02 00:00:00+00:00,20126.072265625,20401.568359375,19814.765625,19969.771484375,29123998928,0.0,0.0,BTC-USD,-802.506022855152,-137.45773330003112,-665.0482895551208,36.364894612004015,21427.451953125,22329.8377734375,31087.266386718748,21097.976062418278,22126.219779131,1,1
2022-09-03 00:00:00+00:00,19969.71875,20037.009765625,19698.35546875,19832.087890625,23613051457,0.0,0.0,BTC-USD,-801.6500528986508,-109.28141067482397,-692.3686422238268,35.43871247962729,21203.0896484375,22309.75296875,30963.550810546876,20977.415284152252,22036.253822719,1,1
2022-09-04 00:00:00+00:00,19832.470703125,19999.689453125,19636.81640625,19986.712890625,25245861652,0.0,0.0,BTC-USD,-779.5090501931445,-69.71232637545415,-709.7967238176903,37.36798100748936,20995.57666015625,22285.6808984375,30843.675078125,20883.062675244895,21955.87966851924,1,1
2022-09-05 00:00:00+00:00,19988.7890625,20031.16015625,19673.046875,19812.37109375,28813460025,0.0,0.0,BTC-USD,-767.1864244601347,-45.91176051395553,-721.2746639461792,36.059560290017856,20792.030664062502,22266.3414453125,30740.046875,20781.092048435858,21871.82050872437,1,1
2022-09-06 00:00:00+00:00,19817.724609375,20155.26953125,18800.171875,18837.66796875,43403978910,0.0,0.0,BTC-USD,-826.5431758150662,-84.21480949510953,-742.3283663199567,29.781208819880575,20567.11416015625,22193.381015625,30634.080332031248,20596.00404084673,21752.83413460773,1,1
2022-09-07 00:00:00+00:00,18837.68359375,19427.171875,18644.466796875,19290.32421875,35239757134,0.0,0.0,BTC-USD,-827.5191271522344,-68.15260866582219,-759.3665184864122,35.405902533199956,20370.99345703125,22111.398828125,30529.921171875,20471.65358159942,21656.265118299583,1,-1
2022-09-08 00:00:00+00:00,19289.94140625,19417.3515625,19076.71484375,19329.833984375,32194477850,0.0,0.0,BTC-USD,-815.7015678121024,-45.068039460552086,-770.6335283515504,35.88862910870271,20293.60751953125,22033.360859375,30434.413447265626,20362.908858054237,21565.032524812344,1,-1
2022-09-09 00:00:00+00:00,19328.140625,21439.41015625,19310.962890625,21381.15234375,48469528171,0.0,0.0,BTC-USD,-633.5091200847892,109.69952661340903,-743.2086466981982,54.782723225835376,20304.362109375,21997.691328125,30355.942802734375,20459.884428120502,21557.821537319705,-1,-1
2022-09-10 00:00:00+00:00,21376.912109375,21760.275390625,21168.72265625,21680.5390625,36913738894,0.0,0.0,BTC-USD,-459.66357099547895,226.83606056217548,-686.4996315576544,56.78449583206804,20311.6830078125,21977.0025390625,30272.915361328123,20576.13725044236,21562.633989287562,-1,-1
2022-09-11 00:00:00+00:00,21678.54296875,21770.552734375,21406.9453125,21769.255859375,34493951963,0.0,0.0,BTC-USD,-311.14433852812,300.2842344236276,-611.4285729517476,57.386521941624046,20330.200390625003,21963.0780859375,30195.2787890625,20689.76759415023,21570.736807722362,-1,-1
2022-09-12 00:00:00+00:00,21770.1484375,22439.181640625,21603.896484375,22370.44921875,50212088965,0.0,0.0,BTC-USD,-143.27886745935393,374.519764393915,-517.798631853269,61.31900109175895,20372.31845703125,21958.3037890625,30115.46798828125,20849.832510778782,21602.098078743053,-1,-1
2022-09-13 00:00:00+00:00,22371.48046875,22673.8203125,20062.669921875,20296.70703125,51091116622,0.0,0.0,BTC-USD,-175.55425559682408,273.7955010051559,-449.34975660198,45.664924299800155,20317.40283203125,21937.00390625,30020.8804296875,20797.153893680803,21550.90627295901,0,-1
2022-09-14 00:00:00+00:00,20184.5546875,20467.201171875,19793.396484375,20241.08984375,37872380889,0.0,0.0,BTC-USD,-203.27732102536174,196.85794846129465,-400.1352694866564,45.33068033872232,20249.412109375,21917.030625,29926.56013671875,20744.19541273501,21499.540922793953,0,-1
2022-09-15 00:00:00+00:00,20242.2890625,20318.166015625,19636.734375,19701.2109375,36389011503,0.0,0.0,BTC-USD,-265.74838394202015,107.509508435709,-373.25789237772915,42.10868763102422,20221.4716796875,21852.443867187503,29836.517265625,20644.863557950724,21429.01817827262,0,-1
